MsgID.STATE,1521024548.8232663,False,False
MsgID.GLOBAL_HOME,1521024548.8237879,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024548.8239353,-122.3974486,37.7924792,0.1950000
MsgID.LOCAL_VELOCITY,1521024548.8239353,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024548.8241506,-0.0809596,0.1204563,-0.1950854
MsgID.LOCAL_VELOCITY,1521024548.8241506,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521024548.8243361,-122.3974504,37.7924801,0.1600000
MsgID.LOCAL_VELOCITY,1521024548.8243361,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024548.8244767,0.0112398,-0.0356664,-0.1606200
MsgID.LOCAL_VELOCITY,1521024548.8244767,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521024548.8246126,-122.3974500,37.7924816,0.1200000
MsgID.LOCAL_VELOCITY,1521024548.8246126,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024548.8247468,0.1801842,-0.0051349,-0.1205841
MsgID.LOCAL_VELOCITY,1521024548.8247468,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521024548.8248913,-122.3974503,37.7924809,0.0700000
MsgID.LOCAL_VELOCITY,1521024548.8248913,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024548.8250198,0.1025390,-0.0322644,-0.0701025
MsgID.LOCAL_VELOCITY,1521024548.8250198,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521024549.0203686,True,True
MsgID.GLOBAL_HOME,1521024552.2483203,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024552.2484720,-122.3974496,37.7924800,0.0260000
MsgID.LOCAL_VELOCITY,1521024552.2484720,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024552.2487071,0.0057592,0.0297186,-0.0269753
MsgID.LOCAL_VELOCITY,1521024552.2487071,-0.0000083,-0.0000335,0.0000078
MsgID.GLOBAL_POSITION,1521024552.2489634,-122.3974483,37.7924799,-0.0140000
MsgID.LOCAL_VELOCITY,1521024552.2489634,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024552.2492268,-0.0002198,0.1463439,0.0144140
MsgID.LOCAL_VELOCITY,1521024552.2492268,0.0000144,0.0000090,0.0000001
MsgID.GLOBAL_POSITION,1521024552.2495501,-122.3974497,37.7924803,-0.0330000
MsgID.LOCAL_VELOCITY,1521024552.2495501,0.0000000,0.0000000,-0.0700000
